ticker,options_volume,options_volume_call,options_volume_put,volume_put_call_ratio,open_interest,open_interest_call,open_interest_put,open_interest_put_call_ratio,iv_rank,implied_volatility_30d,,,,
NEM,23614,15526,8088,0.520932629,1005803,634270,371533,0.585764737,17.52833154,32.99428571,,,,
BIDU,23489,15275,8214,0.537741408,411308,272375,138933,0.510079853,38.74324433,44.27285714,,ERR,ERR,ERR
OPEN,23364,23204,160,0.006895363,380985,346300,34685,0.100158822,19.58212965,109.6085714,,,,
UAL,23274,13327,9947,0.74637953,675771,296776,378995,1.277040596,26.54634108,51.12857143,,,,
PONY,23246,11296,11950,1.057896601,54276,29522,24754,0.838493327,1.677919647,163.9871429,,,,
ADBE,23214,12233,10981,0.897653887,289974,141526,148448,1.048909741,73.042658,43.02571429,,ERR,ERR,ERR
B,23047,18181,4866,0.267642044,1359155,879435,479720,0.545486591,53.38345865,31.11714286,,ERR,ERR,ERR
V,23045,12504,10541,0.843010237,298099,167701,130398,0.777562447,10.67280571,18.00142857,,,,
AMAT,22511,14182,8329,0.587293753,358170,190655,167515,0.878628937,19.3458007,36.03714286,,,,
PBR,22293,6716,15577,2.31938654,884563,386331,498232,1.289650585,40.88306903,38.36714286,,ERR,ERR,ERR
BTI,22244,20145,2099,0.104194589,182927,104953,77974,0.742942079,59.37941426,24.34578397,,ERR,ERR,ERR
AR,22136,1070,21066,19.68785047,190438,87386,103052,1.179273568,15.76715601,36.84285714,,,,
EBAY,22047,14252,7795,0.54694078,125446,62732,62714,0.999713065,17.64439616,25.62,,,,
FI,21961,17306,4655,0.268981856,67805,43680,24125,0.552312271,32.30121294,28.14,,ERR,ERR,ERR
WBD,21921,14865,7056,0.474672048,927040,555275,371765,0.669515105,25.36699256,46.96714286,,,,
DG,21792,13151,8641,0.6570603,190922,102611,88311,0.860638723,51.49684874,49.14142857,,ERR,ERR,ERR
DOW,21779,15727,6052,0.384815922,455514,251628,203886,0.810267538,37.33066997,39.08714286,,ERR,ERR,ERR
AUR,21724,12704,9020,0.710012594,220558,164026,56532,0.344652677,28.52542238,88.47714286,,,,
CHWY,21507,14737,6770,0.459387935,255878,151745,104133,0.686236779,17.48040295,54.25571429,,,,
CRWD,21140,12521,8619,0.688363549,371591,169338,202253,1.194374564,44.4268161,51.38142857,,ERR,ERR,ERR
CORZ,20562,19371,1191,0.061483661,1405101,1102850,302251,0.274063563,32.11061076,70.31285714,,ERR,ERR,ERR
HTZ,20548,12192,8356,0.685367454,1013019,340824,672195,1.972264277,15.35399027,92.10142857,,,,
VRT,20537,10757,9780,0.909175421,610181,365869,244312,0.667758132,14.42357617,56.43857143,,,,
GRAB,20333,19019,1314,0.069088806,1004673,909135,95538,0.105086703,29.15354419,45.57285714,,,,
GEO,20282,19215,1067,0.055529534,342880,274377,68503,0.249667428,20.56100578,57.17142857,,,,
ABBV,20281,14414,5867,0.407034827,328983,187147,141836,0.757885512,31.96751569,27.57428571,,ERR,ERR,ERR
SEDG,20276,6550,13726,2.095572519,250903,159574,91329,0.572330079,40.27964768,98.16428571,,ERR,ERR,ERR
RBLX,20261,9007,11254,1.249472632,487484,313559,173925,0.554680299,10.72695784,37.83571429,,,,
SMR,20170,7832,12338,1.575331971,196877,123438,73439,0.594946451,37.36323745,85.04714286,,ERR,ERR,ERR
VLO,19967,17021,2946,0.173080313,138479,66362,72117,1.086721316,7.093661726,29.25285714,,,,
GPRE,19957,10060,9897,0.983797217,75050,48993,26057,0.531851489,47.37039183,81.11578755,,ERR,ERR,ERR
HUM,19932,11133,8799,0.790353005,153105,89713,63392,0.706608853,46.27744413,56.56428571,,ERR,ERR,ERR
DJT,19729,13715,6014,0.438497995,293411,163030,130381,0.799736245,1.867058568,67.2,,,,
MSTY,19550,11825,7725,0.653276956,72808,38860,33948,0.87359753,0.001,35.37857143,,,,
AES,19215,14789,4426,0.299276489,393921,208914,185007,0.885565352,39.23056791,44.03,,ERR,ERR,ERR
VST,19153,8770,10383,1.183922463,413648,198524,215124,1.083617094,18.58894171,53.56571429,,,,
MPW,18835,8088,10747,1.328758655,952025,284082,667943,2.351233095,0.001,36.49428571,,,,
RRC,18594,17168,1426,0.08306151,71023,53439,17584,0.329048074,22.91413824,35.19066667,,,,
ONDS,18585,17313,1272,0.073470802,96220,91518,4702,0.051377871,3.233676775,151.786044,,,,
BTU,18556,12411,6145,0.495125292,267050,161273,105777,0.655887842,42.51374581,57.12714286,,ERR,ERR,ERR
TEVA,18484,10040,8444,0.841035857,1019110,634737,384373,0.605562619,22.84447661,37.85142857,,,,
KHC,18327,14179,4148,0.292545313,364801,206333,158468,0.768020627,24.14545455,21.38,,,,
IBM,18187,11264,6923,0.614612926,275727,145259,130468,0.898174984,17.73031312,23.73857143,,,,
PCG,17787,15957,1830,0.114683211,824404,560778,263626,0.470107601,27.08693647,25.57428571,,,,
XP,17624,4362,13262,3.040348464,132514,72470,60044,0.828535946,18.99032748,41.04428571,,,,
TMO,17542,1342,16200,12.07153502,57436,27882,29554,1.059967004,36.57803468,32.03,,ERR,ERR,ERR
AGNC,17529,8423,9106,1.081087499,656801,286786,370015,1.290212911,25.59287738,22.68428571,,,,
EL,17395,13825,3570,0.258227848,294478,151740,142738,0.940674839,17.06233675,40.84142857,,,,
GM,17325,10758,6567,0.610429448,695992,363901,332091,0.912586115,21.36743663,30.86714286,,,,
LUV,17159,10543,6616,0.627525372,420389,210494,209895,0.997154313,25.91362126,37.35,,,,
ZS,17103,6606,10497,1.589009991,231762,128234,103528,0.807336588,31.47272154,43.83142857,,ERR,ERR,ERR
SPOT,16907,10089,6818,0.675785509,115894,55433,60461,1.090704093,24.16809088,40.64714286,,,,
HAL,16843,12544,4299,0.342713648,525144,270645,254499,0.940342515,34.37653131,39.03285714,,ERR,ERR,ERR
VALE,16603,14243,2360,0.165695429,1616654,829663,786991,0.948567069,8.318132069,23.47,,,,
BE,16558,13511,3047,0.225519947,333027,223001,110026,0.493387922,46.31784683,71.56142857,,ERR,ERR,ERR
LAES,16517,14514,2003,0.138004685,50034,40073,9961,0.248571357,19.09389231,169.7271429,,,,
